1,China,"1,421,021,794"
2,India,"1,338,676,779"
3,United States of America,"325,084,758"
4,Indonesia,"264,650,969"
5,Pakistan,"207,906,210"
6,Brazil,"207,833,825"
7,Nigeria,"190,873,247"
8,Bangladesh,"159,685,421"
9,Russian Federation,"145,530,091"
10,Japan,"127,502,728"
11,Mexico,"124,777,326"
12,Ethiopia,"106,399,926"
13,Philippines,"105,172,921"
14,Egypt,"96,442,590"
15,Viet Nam,"94,600,643"
16,Germany,"82,658,409"
17,D.R. Congo,"81,398,765"
18,Turkey,"81,116,451"
19,Iran,"80,673,888"
20,Thailand,"69,209,817"
21,United Kingdom,"66,727,463"
22,France,"64,842,513"
23,Italy,"60,673,694"
24,South Africa,"57,009,751"
25,Tanzania,"54,660,345"
26,Myanmar,"53,382,521"
27,Republic of Korea,"51,096,408"
28,Kenya,"50,221,146"
29,Colombia,"48,909,844"
30,Spain,"46,647,425"
31,Ukraine,"44,487,708"
32,Argentina,"43,937,143"
33,Algeria,"41,389,174"
34,Uganda,"41,166,588"
35,Sudan,"40,813,398"
36,Poland,"37,953,176"
37,Iraq,"37,552,789"
38,Canada,"36,732,091"
39,Afghanistan,"36,296,111"
40,Morocco,"35,581,257"
41,Saudi Arabia,"33,101,183"
42,Uzbekistan,"31,959,774"
43,Peru,"31,444,299"
44,Malaysia,"31,104,655"
45,Angola,"29,816,769"
46,Venezuela,"29,402,480"
47,Ghana,"29,121,464"
48,Mozambique,"28,649,007"
49,Yemen,"27,834,811"
50,Nepal,"27,632,682"
51,Madagascar,"25,570,511"
52,Dem. People's Republic of Korea,"25,429,816"
53,Australia,"24,584,619"
54,Cameroon,"24,566,070"
55,Côte d'Ivoire,"24,437,475"
56,Taiwan,"23,674,546"
57,Niger,"21,602,388"
58,Sri Lanka,"21,128,028"
59,Romania,"19,653,966"
60,Burkina Faso,"19,193,236"
61,Mali,"18,512,429"
62,Chile,"18,470,435"
63,Kazakhstan,"18,080,023"
64,Malawi,"17,670,193"
65,Syrian Arab Republic,"17,095,669"
66,Netherlands,"17,021,343"
67,Guatemala,"16,914,979"
68,Zambia,"16,853,608"
69,Ecuador,"16,785,356"
70,Cambodia,"16,009,413"
71,Senegal,"15,419,354"
72,Chad,"15,016,761"
73,Somalia,"14,589,165"
74,Zimbabwe,"14,236,599"
75,Guinea,"12,067,516"
76,Rwanda,"11,980,960"
77,Tunisia,"11,433,438"
78,Belgium,"11,419,752"
79,Cuba,"11,339,255"
80,Bolivia,"11,192,853"
81,Benin,"11,175,192"
82,Haiti,"10,982,367"
83,South Sudan,"10,910,774"
84,Burundi,"10,827,010"
85,Czech Republic,"10,641,032"
86,Greece,"10,569,449"
87,Dominican Republic,"10,513,111"
88,Portugal,"10,288,527"
89,Sweden,"9,904,895"
90,Azerbaijan,"9,845,316"
91,Jordan,"9,785,840"
92,Hungary,"9,729,822"
93,United Arab Emirates,"9,487,206"
94,Belarus,"9,450,233"
95,Honduras,"9,429,016"
96,Tajikistan,"8,880,270"
97,Serbia,"8,829,623"
98,Austria,"8,819,902"
99,Switzerland,"8,455,797"
100,Papua New Guinea,"8,438,038"
101,Israel,"8,243,849"
102,Togo,"7,698,476"
103,Sierra Leone,"7,488,427"
104,"China, Hong Kong SAR","7,306,315"
105,Bulgaria,"7,102,452"
106,Laos,"6,953,031"
107,Paraguay,"6,867,058"
